event_code,event,event_description,action,authentication_method
admin_update_launch,Auth0 Update Launched,,,
api_limit,Rate Limit on the Authentication or Management APIs,The maximum number of requests to the Authentication or Management APIs in given time has reached.,,
cls,Code/Link Sent,Passwordless login code/link has been sent,,
cs,Code Sent,Passwordless login code has been sent,,
depnote,Deprecation Notice,,,
du,Deleted User,User has been deleted,,
f,Failed Login,,failure,
fapi,Operation on API failed,,failure,
fc,Failed by Connector,,failure,
fce,Failed Change Email,Failed to change user email,failure,
fco,Failed by CORS,Origin is not in the Allowed Origins list for the specified application,failure,
fcoa,Failed cross-origin authentication,,failure,
fcp,Failed Change Password,,failure,
fcph,Failed Post Change Password Hook,,failure,
fcpn,Failed Change Phone Number,,failure,
fcpr,Failed Change Password Request,,failure,
fcpro,Failed Connector Provisioning,Failed to provision a AD/LDAP connector,failure,
fcu,Failed Change Username,Failed to change username,failure,
fd,Failed Delegation,Failed to generate delegation token,failure,
fdeac,Failed Device Activation,Failed to activate device.,failure,
fdeaz,Failed Device Authorization Request,Device authorization request failed.,failure,
fdecc,User Canceled Device Confirmation,User did not confirm device.,,
fdu,Failed User Deletion,,failure,
feacft,Failed Exchange,Failed to exchange authorization code for Access Token,failure,
feccft,Failed Exchange,Failed exchange of Access Token for a Client Credentials Grant,failure,
fede,Failed Exchange,Failed to exchange Device Code for Access Token,failure,
fens,Failed Exchange,Failed exchange for Native Social Login,failure,
feoobft,Failed Exchange,Failed exchange of Password and OOB Challenge for Access Token,failure,
feotpft,Failed Exchange,Failed exchange of Password and OTP Challenge for Access Token,failure,
fepft,Failed Exchange,Failed exchange of Password for Access Token,failure,
fepotpft,Failed Exchange,Failed exchange of Passwordless OTP for Access Token,failure,
fercft,Failed Exchange,Failed Exchange of Password and MFA Recovery code for Access Token,failure,MFA
fertft,Failed Exchange,Failed Exchange of Refresh Token for Access Token. This could occur if the refresh token is revoked or expired.,failure,
ferrt,Failed Exchange,Failed Exchange of Rotating Refresh Token. This could occur when reuse is detected.,failure,
